Affrikata;2
Affrikate;2
Affront;1
Affäre;2
Afghan;1
Afghane;1
Afghani;1
Afghanin;2
Aflatoxin;3
Afonie;2
Afrika;3
Afrikaans;3
Afrikaexperte;1
Afrikaexpertin;2
Afrikaner;1
Afrikanerin;2
Afrikanist;1
Afrikanistik;2
Afrikanistin;2
Afroamerikaner;1
Afroamerikanerin;2
Afrolook;1
After-Sales-Service;1
After-Show-Party;2
After-Work-Party;2
After-shave;3
After;1
Afterbürgschaft;2
Afterdrüse;2
Afterfeld;3
Afterflosse;2
Afterkamille;2
Afterklaue;2
Afterleder;3
Afterrede;2
Aftershave;3
Aftershavelotion;2
Afterzehe;2
Agalaktie;2
Agamet;1
Agamie;2
Agape;2
Agar-Agar;1
Agar-Agar;3
Agave;2
Agenda;2
Agende;2
Agenesie;2
Agens;3
Agent Provocateur;1
Agent provocateur;1
Agent;1
Agentin;2
Agentur;2
Agenturbericht;1
Agenturmeldung;2
Ageusie;2
Agfa;2
Agglomerat;3
Agglomeration;2
Agglutination;2
Agglutinin;1
Aggravation;2
Aggregat;3
Aggregation;2
Aggregator;1
Aggregatzustand;1
Aggression;2
Aggressivität;2
Aggressor;1
Aggressorin;2
Agilität;2
Aging;3
Agio;3
Agiotage;2
Agioteur;1
Agioteurin;2
Agitation;2
Agitationskunst;2
Agitator;1
Agitatorin;2
Agitprop;2
Agitproptheater;3
Aglei;2
Aglykon;3
Agnat;1
Agnition;2
Agnomen;3
Agnosie;2
Agnostiker;1
Agnostikerin;2
Agnostizismus;1
Agnus Dei;3
Agogik;2
Agon;1
Agonie;2
Agonist;1
Agora;2
Agoraphobie;2
Agraffe;2
Agrafie;2
Agrammatismus;1
Agranulozytose;2
Agraphie;2
Agrarbiologie;2
Agrarchemie;2
Agrarexperte;1
Agrarexpertin;2
Agrarexport;1
Agrargeografie;2
Agrargeographie;2
Agrargesellschaft;2
Agrargut;3
Agrarhistoriker;1
Agrarhistorikerin;2
Agrarier;1
Agrarierin;2
Agrarimport;1
Agrarland;3
Agrarmarkt;1
Agrarminister;1
Agrarministerin;2
Agrarministerium;3
Agrarpionier;1
Agrarpionierin;2
Agrarpolitik;2
Agrarprodukt;3
Agrarreform;2
Agrarschriftsteller;1
Agrarschriftstellerin;2
Agrarsektor;1
Agrarspezialist;1
Agrarspezialistin;2
Agrarstaat;1
Agrartechnik;2
Agrartechniker;1
Agrartechnikerin;2
Agrarwissenschaft;2
Agreement;3
Agrikultur;2
Agrikulturchemie;2
Agrobiologie;2
Agrochemie;2
Agronom;1
Agronomie;2
Agronomin;2
Agrostologe;1
Agrostologie;2
Agrostologin;2
Agrotechnik;2
Agrotypus;1
Agrypnie;2
Agrément;3
Agtstein;1
Aguti;1
Aguti;3
Aha-Erlebnis;3
Ahaerlebnis;3
Ahasver;1
Ahasverus;1
Ahlbeere;2
Ahle;2
Ahlkirsche;2
Ahm;3
Ahming;2
Ahn;1
Ahne;1
Ahnenbild;3
Ahnenforschung;2
Ahnengalerie;2
Ahnenkult;1
Ahnenreihe;2
Ahnentafel;2
Ahnfrau;2
Ahnfrau;1
Ahnherr;1
Ahnin;2
Ahnung;2
Ahnungslosigkeit;2
Ahnungsvermögen;3
Ahorn;1
Ahornsirup;1
Ai;3
Aide-Mémoire;3
Aide;1
Aids;3
Aidshilfe;2
Aidstest;1
Aidsvirus;3
Aigrette;2
Aiguière;2
Aikencode;1
Aikido;3
Aimara;2
Aimara;1
Ainu;2
Ainu;1
Aioli;2
Aioli;3
Air Force;2
Air-condition;2
Air;3
Airbag;1
Airbus;1
Aircondition;2
Airconditioner;1
Airedaleterrier;1
Airglow;3
Airline;2
Airliner;1
Airmail;2
Airplay;3
Airport;1
Airshow;2
Airshuttle;1
Airshuttle;3
Airterminal;1
Ajatollah;1
Ajourarbeit;2
Akademie;2
Akademieprofessor;1
Akademieprofessorin;2
Akademiker;1
Akademikerin;2
Akademismus;1
Akalkulie;2
Akanthit;1
Akanthus;1
Akanthusblatt;3
Akariasis;2
Akarine;2
Akarizid;3
Akaroidharz;3
Akarologie;2
Akatholik;1
Akatholikin;2
Akazie;2
Akelei;2
Akidopeirastik;2
Akinesie;2
Akklamation;2
Akklimatisation;2
Akklimatisierung;2
Akkolade;2
Akkommodation;2
Akkord;1
Akkordarbeit;2
Akkordeon;3
Akkordeonist;1
Akkordeonistin;2
Akkordeonspieler;1
Akkordeonspielerin;2
Akkordlohn;1
Akkreditiv;3
Akkreszenz;2
Akkretion;2
Akku;1
Akkulaufzeit;2
Akkulturation;2
Akkumulation;2
Akkumulator;1
Akkuratesse;2
Akkusation;2
Akkusativ;1
Akkusativobjekt;3
Akne;2
Akonitin;3
Akquise;2
Akquisiteur;1
Akquisiteurin;2
Akquisition;2
Akribie;2
Akrobat;1
Akrobatik;2
Akrobatin;2
Akrolein;3
Akronym;3
Akt;1
Akte;2
Akteur;1
Aktfotograf;1
Aktfotografie;2
Aktfotografin;2
Aktie;2
Aktienexperte;1
Aktienexpertin;2
Aktienfonds;1
Aktienmarkt;1
Aktienspekulant;1
Aktienspekulantin;2
Aktiensplit;1
Aktin;3
Aktion;2
Aktionismus;1
Aktionist;1
Aktionsplan;1
Aktionsprogramm;3
Aktionär;1
Aktionärin;2
Aktivbestand;1
Aktivbürger;1
Aktivgeschäft;3
Aktivierung;2
Aktivismus;1
Aktivist;1
Aktivistin;2
Aktivität;2
Aktivkohle;2
Aktivruder;3
Aktivsaldo;1
Aktivspieler;1
Aktivspielerin;2
Aktivum;3
Aktivurlaub;1
Aktivvermögen;3
Aktivzins;1
Aktphotograph;1
Aktphotographie;2
Aktphotographin;2
Aktualisierung;2
Aktualität;2
Akupressur;2
Akupunktur;2
Akustik;2
Akustikgitarre;2
Akut;1
Akzeleration;2
Akzelerator;1
Akzent;1
Akzentuation;2
Akzeptant;1
Akzeptanz;2
Akzeptor;1
Akzessionsklausel;2
Akzidens;3
Akzidenz;2
Alabaster;1
Alarm;1
Alba;2
Albaner;1
Albanerin;2
Albatros;1
Albdruck;1
Albedo;2
Albedometer;3
Alberei;2
Albernheit;2
Albinismus;1
Albino;1
Albtraum;1
Albtraumszenario;3
Album;3
Aldehyd;1
Aleatorik;2
Alemanne;1
Alert;1
Alert;3
Alfalfa;2
Alge;2
Algerienfranzose;1
Algerienfranzösin;2
Algerier;1
Algerierin;2
Algorithmus;1
Algraphie;2
Alias;1
Alias;3
Alibi;3
Alien;3
Alimentation;2
Alkali;3
Alkalimetall;3
Alkaloid;3
Alkohol;1
Alkoholhersteller;1
Alkoholherstellerin;2
Alkoholiker;1
Alkoholikerin;2
Alkoholismus;1
Alkoholkonsum;1
Alkoholkonsument;1
Alkoholkonsumentin;2
Alkoholmissbrauch;1
All;3
Allee;2
Allegation;2
Alleinerbe;1
Alleinerbin;2
Alleinflug;1
Alleingang;1
Alleinherrscher;1
Alleinherrscherin;2
Alleininhaber;1
Alleininhaberin;2
Alleinsein;3
Alleinspieler;1
Alleinspielerin;2
Alleinunterhalter;1
Alleinunterhalterin;2
Alleinverkauf;1
Alleinvertreter;1
Alleinvertreterin;2
Alleinvertretung;2
Alleinvertrieb;1
Allergie;2
Allergiker;1
Allergikerin;2
Allergologie;2
Allergose;2
Allerlei;3
Allerweltswort;3
Allerwerteste;1
Allesfresser;1
Alleskleber;1
Allesreiniger;1
Allgemeinarzt;1
Allgemeinbefinden;3
Allgemeinbildung;2
Allgemeingut;3
Allgemeingültigkeit;2
Allgemeinheit;2
Allgemeinmediziner;1
Allgemeinpatient;1
Allgemeinpatientin;2
Allgemeinärztin;2
Allgewalt;2
Allianz;2
Alligator;1
Alliierte;1
Alliteration;2
Allmacht;2
Allmachtsfantasie;2
Allmachtsphantasie;2
Allofon;3
Allokation;2
Allomorph;3
Allomorphie;2
Allopath;1
Allopathie;2
Allophon;3
Allradantrieb;1
Allrounder;1
Allrounderin;2
Allroundspieler;1
Allroundspielerin;2
Alltag;1
Alltagswort;3
Alltäglichkeit;2
Allzweckreiniger;1
Allüre;2
Alm;2
Alma Mater;2
Alp;2
Alpaka;1
Alpaka;3
Alpdruck;1
Alpe;2
Alpenexperte;1
Alpenexpertin;2
Alpenrose;2
Alpenveilchen;3
Alphabet;3
Alphateilchen;3
Alpinist;1
Alpinistik;2
Alpinistin;2
Alptraum;1
Alptraumszenario;3
Alt;1
Alt;3
Altar;1
Altarbeitnehmer;1
Altarbeitnehmerin;2
Altarskulptur;2
Altassistent;1
Altassistentin;2
Altbau;1
Altbauwohnung;2
Altbier;3
Altbierglas;3
Alte;1
Altenpflege;2
Alter Ego;3
Alter ego;3
Alter;3
Alteration;2
Alternation;2
Alternative;2
Alternativkandidat;1
Alternativkandidatin;2
Alternativmediziner;1
Alternativmedizinerin;2
Alternativprogramm;3
Altersarmut;2
Altersdiabetes;1
Altersdiskriminierung;2
Altersgrenze;2
Altersgruppe;2
Altersklasse;2
Alterssitz;1
Altersstufe;2
Altertum;3
Altertumsexperte;1
Altertumsexpertin;2
Altertümler;1
Alterungsprozess;1
Altgeige;2
Altgermanist;1
Altgermanistin;2
Altglas;3
Altglascontainer;1
Altherrenmannschaft;2
Altist;1
Altistin;2
Altkanzler;1
Altkanzlerin;2
Altkatholik;1
Altkatholikin;2
Altkatholizismus;1
Altklarinette;2
Altpapier;3
Altpapiercontainer;1
Altphilologie;2
Altruist;1
Altruistin;2
Altsaxofon;3
Altsaxophon;3
Altsiedler;1
Altsiedlerin;2
Altstadt;2
Altstadtbesucher;1
Altstadtbesucherin;2
Altstimme;2
Altwarenhändler;1
Altwarenhändlerin;2
Altweiberknoten;1
Altägypter;1
Altägypterin;2
Altöl;3
Alu;3
Alufelge;2
Aluhut;1
Aluminium;3
Aluminiumfolie;2
Aluminiumlegierung;2
Alumne;1
Alumnus;1
Alveolitis;2
Alzheimer;1
Alzheimerkrankheit;2
Alzheimerpatient;1
Alzheimerpatientin;2
Amateur;1
Amateurdieb;1
Amateurdiebin;2
Amateurin;2
Amateurkriminologe;1
Amateurkriminologin;2
Amazone;2
Ambiance;2
Ambidextrie;2
Ambiente;3
Ambiguität;2
Ambition;2
Amboss;1
Amboß;1
Ambrosia;2
Ambulanz;2
Ameise;2
Amen;3
Amerikahaus;3
Amerikaner;1
Amerikanerin;2
Amerikanist;1
Amerikanistik;2
Amerikanistin;2
Ami;2
Ami;1
Aminosäure;2
Amme;2
Ammer;2
Ammoniak;3
Ammonit;1
Ammonium;3
Amnesie;2
Amnestie;2
Amoklaufen;3
Amokläufer;1
Amokläuferin;2
Amokschütze;1
Amorphie;2
Amortisation;2
Amortisierung;2
Ampel;2
Ampelmast;1
Ampelmännchen;3
Ampere;3
Ampfer;1
Amphibie;2
Ampulle;2
Amputation;2
Amsel;2
Amsterdamer;1
Amsterdamerin;2
Amt;3
Amtei;2
Amtmann;1
Amtsgericht;3
Amtsinhaber;1
Amtsinhaberin;2
Amtsschreiber;1
Amtsschreiberin;2
Amtsträger;1
Amtsträgerin;2
Amtsvorsteher;1
Amtsvorsteherin;2
Amöbe;2
